"Variable","satisfied_teaching","satisfied_feedback","students_staff_ratio","spent_per_student","avg_entry_tariff","added_value","career_after_15_month","White.ethnic.group","Black.ethnic.group","Asian.ethnic.group","Mixed.ethnic.group","Other.ethnic.group","POLAR4.Q1","POLAR4.Q2","POLAR4.Q3","POLAR4.Q4","POLAR4.Q5","Men","Women","Total"
"satisfied_teaching",1,0.382921249613061,-0.0772233091455419,0.0555665244210694,0.229385026230396,0.0497722073743503,0.213084755490965,0.162186960387015,-0.0736836153843184,-0.256476021257687,-0.086282154797652,-0.034993298108594,0.038520812443777,0.0116082675284535,-0.141757615036648,-0.177810496827404,0.0937167197567487,0.136921676453672,-0.138463965401085,-0.185684482499512
"satisfied_feedback",0.382921249613061,1,0.305644864363846,-0.321837101454454,-0.608198993982608,-0.0895572581308772,-0.57055510679555,0.0322319110035822,0.221542612651215,-0.233449385270702,-0.319248430846153,0.0960038590985735,0.499667892339568,0.50566794025984,0.438409433812338,-0.10054477823065,-0.640217643882909,-0.157277155353782,0.155129929245735,-0.0734654196092689
"students_staff_ratio",-0.0772233091455419,0.305644864363846,1,-0.564836173305286,-0.315430609513532,-0.0489216938904979,-0.412118885145076,-0.0435212251925659,0.207671797913479,-0.0462701665125895,-0.357303311087979,0.0808148011334079,0.0375559509144845,0.207186078610099,0.438561779960341,0.17616120632336,-0.359340204597873,-0.075702007827572,0.0750584536190191,0.0127495364997272
"spent_per_student",0.0555665244210694,-0.321837101454454,-0.564836173305286,1,0.338834012928538,0.0625807590098688,0.325120405164722,-0.170550108116954,0.0152794074535763,0.18951995873594,0.353917369563007,0.0904601744560531,-0.155514620105982,-0.266977478048655,-0.409747048497684,-0.0175838975554409,0.359689054827527,0.132869920506086,-0.133355079554921,-0.0210481783073623
"avg_entry_tariff",0.229385026230396,-0.608198993982608,-0.315430609513532,0.338834012928538,1,0.0969291443630813,0.681596345230894,0.283416428401458,-0.503581582566417,-0.0424813354034886,0.0351829143643746,-0.280971870262681,-0.476628867068881,-0.467913950213109,-0.502555181444722,-0.137875103254246,0.73468826786673,0.176300374711114,-0.174903226871408,-0.0735367438995824
"added_value",0.0497722073743503,-0.0895572581308772,-0.0489216938904979,0.0625807590098688,0.0969291443630813,1,0.16228453194923,-0.08776160252863,0.0325930238405803,0.123438964289755,0.117436449701335,-0.000304417854605775,-0.0119401742664526,-0.110975114578283,-0.081418462846065,0.0554794989655604,0.0575175696750028,0.104582623056027,-0.102260385372886,-0.0366462152294485
"career_after_15_month",0.213084755490965,-0.57055510679555,-0.412118885145076,0.325120405164722,0.681596345230894,0.16228453194923,1,0.123213996775638,-0.380801373943614,0.143735286651642,0.0655046594492358,-0.193842951143596,-0.288118547871373,-0.344387135654347,-0.460254610283916,-0.192973989288709,0.581413458731703,0.336719731735693,-0.335942646226686,0.127038584877027
"White.ethnic.group",0.162186960387015,0.0322319110035822,-0.0435212251925659,-0.170550108116954,0.283416428401458,-0.08776160252863,0.123213996775638,1,-0.81004291287732,-0.874736529426416,-0.583161178389698,-0.692126919196235,0.296988865264172,0.210115626472856,-0.199226167991665,-0.503277986539718,0.0279249990296332,-0.124431858694091,0.123707331061778,0.020076555131627
"Black.ethnic.group",-0.0736836153843184,0.221542612651215,0.207671797913479,0.0152794074535763,-0.503581582566417,0.0325930238405803,-0.380801373943614,-0.81004291287732,1,0.484733681760961,0.413122835999271,0.518289934999986,-0.128138602158814,-0.07824265694443,0.320961600589101,0.520484263514552,-0.243885411837501,-0.0202549400339138,0.0198067576580063,-0.0047505831956533
"Asian.ethnic.group",-0.256476021257687,-0.233449385270702,-0.0462701665125895,0.18951995873594,-0.0424813354034886,0.123438964289755,0.143735286651642,-0.874736529426416,0.484733681760961,1,0.446394787290569,0.514728482155429,-0.306614657119502,-0.183864941971491,0.150504183445845,0.319051724341111,0.072722416822037,0.204840394294646,-0.203818694824302,0.0102864546740092
"Mixed.ethnic.group",-0.086282154797652,-0.319248430846153,-0.357303311087979,0.353917369563007,0.0351829143643746,0.117436449701335,0.0655046594492358,-0.583161178389698,0.413122835999271,0.446394787290569,1,0.43136370351322,-0.463777462202962,-0.543917600831108,-0.370606200137796,0.442693458048182,0.446825852475259,0.192702561617055,-0.191896534127693,-0.00688844915000966
"Other.ethnic.group",-0.034993298108594,0.0960038590985735,0.0808148011334079,0.0904601744560531,-0.280971870262681,-0.000304417854605775,-0.193842951143596,-0.692126919196235,0.518289934999986,0.514728482155429,0.43136370351322,1,-0.244590329604616,-0.255681032709963,-0.0273671664073805,0.52780930431174,0.0279189051237659,0.0912280189642866,-0.0909448088919336,-0.0273162981126055
"POLAR4.Q1",0.038520812443777,0.499667892339568,0.0375559509144845,-0.155514620105982,-0.476628867068881,-0.0119401742664526,-0.288118547871373,0.296988865264172,-0.128138602158814,-0.306614657119502,-0.463777462202962,-0.244590329604616,1,0.827093259216123,0.366851627931238,-0.643110176290899,-0.802221263540262,-0.232093028000881,0.231568653016759,0.0394713550672606
"POLAR4.Q2",0.0116082675284535,0.50566794025984,0.207186078610099,-0.266977478048655,-0.467913950213109,-0.110975114578283,-0.344387135654347,0.210115626472856,-0.07824265694443,-0.183864941971491,-0.543917600831108,-0.255681032709963,0.827093259216123,1,0.655251751328504,-0.664690313691068,-0.867721170910205,-0.243382464117537,0.241023268849372,0.0168970253567335
"POLAR4.Q3",-0.141757615036648,0.438409433812338,0.438561779960341,-0.409747048497684,-0.502555181444722,-0.081418462846065,-0.460254610283916,-0.199226167991665,0.320961600589101,0.150504183445845,-0.370606200137796,-0.0273671664073805,0.366851627931238,0.655251751328504,1,-0.211191329880217,-0.755893720798636,-0.219093312589106,0.218401888650786,-0.0248491323608197
"POLAR4.Q4",-0.177810496827404,-0.10054477823065,0.17616120632336,-0.0175838975554409,-0.137875103254246,0.0554794989655604,-0.192973989288709,-0.503277986539718,0.520484263514552,0.319051724341111,0.442693458048182,0.52780930431174,-0.643110176290899,-0.664690313691068,-0.211191329880217,1,0.293800014338785,0.0100665344612947,-0.0091151272590575,-0.0552120078945418
"POLAR4.Q5",0.0937167197567487,-0.640217643882909,-0.359340204597873,0.359689054827527,0.73468826786673,0.0575175696750028,0.581413458731703,0.0279249990296332,-0.243885411837501,0.072722416822037,0.446825852475259,0.0279189051237659,-0.802221263540262,-0.867721170910205,-0.755893720798636,0.293800014338785,1,0.320594325575397,-0.319340849662976,0.00473538865708494
"Men",0.136921676453672,-0.157277155353782,-0.075702007827572,0.132869920506086,0.176300374711114,0.104582623056027,0.336719731735693,-0.124431858694091,-0.0202549400339138,0.204840394294646,0.192702561617055,0.0912280189642866,-0.232093028000881,-0.243382464117537,-0.219093312589106,0.0100665344612947,0.320594325575397,1,-0.999887773559336,0.188822748668206
